term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
tyler,tyler,3,,,,,,1000,0.003,1.435335496,0.326354255,,,
transcript,transcript,3,,,,,,1000,0.003,-0.403212073,0.122068463,,,
titans,titan,3,,,,,,1000,0.003,-0.310865155,-0.10387279,,,
therapy,therapi,3,,,,,,1000,0.003,-0.475772508,-0.135407491,,,
therapeutics,therapeut,3,,,,,,1000,0.003,-0.492969316,-0.551248272,,,
teammates,teammat,3,,,,,,1000,0.003,-0.712480888,1.152826726,,,
taylor,taylor,3,,,,,,1000,0.003,1.806718422,0.05952247,,,
sustainability,sustain,3,,,,,,1000,0.003,-0.725074386,-0.685380679,,,
subway,subway,3,,,,,,1000,0.003,-0.341952301,0.320206662,,,
subsidies,subsidi,3,,,,,,1000,0.003,-0.693169328,-0.41256161,,,
submit,submit,3,,,,,,1000,0.003,-0.558593791,-0.559868525,,,
students,student,3,,,,,,1000,0.003,-0.764440047,0.308226308,,,
stephanie,stephani,3,,,,,,1000,0.003,1.367314365,0.231647211,,,
state-of-the-art,state-of-the-art,3,,,,,,1000,0.003,,,,,
spain,spain,3,,,,,,1000,0.003,1.9395419,-0.252331138,,,
situated,situat,3,,,,,,1000,0.003,-0.338670721,-0.180225981,,,
sint,sint,3,,,,,,1000,0.003,-0.033356831,0.209502002,,,
singer,singer,3,,,,,,1000,0.003,-0.408643317,0.716237407,,,
significantly,signific,3,,,,,,1000,0.003,-0.563151213,-0.674379392,,,
sheriffs,sheriff,3,,,,,,1000,0.003,-0.149341761,0.581206052,,,
sector,sector,3,,,,,,1000,0.003,-0.554040277,-0.747026585,,,
script,script,3,,,,,,1000,0.003,-0.463834782,0.444134446,,,
screens,screen,3,,,,,,1000,0.003,-0.46117935,-0.357357783,,,
scng,scng,3,,,,,,1000,0.003,,,,,
sawant,sawant,3,,,,,,1000,0.003,,,,,
satellites,satellit,3,,,,,,1000,0.003,-0.608637573,-0.244052305,,,
santa,santa,3,,,,,,1000,0.003,1.416728736,0.181564316,,,
sanctuary,sanctuari,3,,,,,,1000,0.003,-0.492681731,0.547693222,,,
russia,russia,3,,,,,,1000,0.003,1.848699834,-0.308000815,,,
rousseau,rousseau,3,,,,,,1000,0.003,,,,,
rome,rome,3,,,,,,1000,0.003,1.464016425,0.101587733,,,
rolle,roll,3,,,,,,1000,0.003,0.078526003,0.14961752,,,
rfa,rfa,3,,,,,,1000,0.003,,,,,
resolutions,resolut,3,,,,,,1000,0.003,-0.472344826,-0.283050238,,,
residences,resid,3,,,,,,1000,0.003,-0.738159054,0.056506384,,,
renewed,renew,3,,,,,,1000,0.003,-0.819965289,-0.425054371,,,
reminds,remind,3,,,,,,1000,0.003,-0.301841082,-0.082927327,,,
rema,rema,3,,,,,,1000,0.003,0.02413609,-0.152450922,,,
relatable,relat,3,,,,,,1000,0.003,-0.668832525,0.152325118,,,
recruitment,recruit,3,,,,,,1000,0.003,-0.506667328,-0.357138176,,,
rebuild,rebuild,3,,,,,,1000,0.003,-0.714375954,-0.067349488,,,
raping,rape,3,,,,,,1000,0.003,-0.605794126,0.874177463,,,
ramsay,ramsay,3,,,,,,1000,0.003,,,,,
rally,ralli,3,,,,,,1000,0.003,-0.647661231,0.521859518,,,
raging,rage,3,,,,,,1000,0.003,-0.212170936,0.193169995,,,
quote,quot,3,,,,,,1000,0.003,0.018968011,-0.01889376,,,
queen,queen,3,,,,,,1000,0.003,-0.009001296,0.645569124,,,
progressive,progress,3,,,,,,1000,0.003,-0.313152794,-0.357075759,,,
privilege,privileg,3,,,,,,1000,0.003,-0.552350977,0.084448494,,,
princess,princess,3,,,,,,1000,0.003,-0.122028496,0.721071449,,,
predicted,predict,3,,,,,,1000,0.003,-0.6423815,-0.240980659,,,
pledges,pledg,3,,,,,,1000,0.003,-0.732098586,-0.207436786,,,
playoffs,playoff,3,,,,,,1000,0.003,-0.683928058,1.159364802,,,
personalities,person,3,,,,,,1000,0.003,-0.62541539,0.194160081,,,
performing,perform,3,,,,,,1000,0.003,-0.557247599,-0.274620183,,,
pension,pension,3,,,,,,1000,0.003,-0.770154404,0.173007088,,,
penguins,penguin,3,,,,,,1000,0.003,-0.141156398,0.445842334,,,
patrick,patrick,3,,,,,,1000,0.003,1.94958031,0.22250804,,,
pakistan,pakistan,3,,,,,,1000,0.003,1.788414752,-0.190303716,,,
packages,packag,3,,,,,,1000,0.003,-0.43646796,-0.620661336,,,
owner-operators,owner-oper,3,,,,,,1000,0.003,,,,,
osaka,osaka,3,,,,,,1000,0.003,,,,,
organizing,organ,3,,,,,,1000,0.003,-0.598995709,-0.193791665,,,
opeifa's,opeifa,3,,,,,,1000,0.003,,,,,
olfactory,olfactori,3,,,,,,1000,0.003,-0.178466735,0.096650814,,,
oklahoma,oklahoma,3,,,,,,1000,0.003,1.643891568,-0.356168893,,,
odisha,odisha,3,,,,,,1000,0.003,,,,,
nyse,nyse,3,,,,,,1000,0.003,-0.424968356,-0.878003819,,,
nuclear,nuclear,3,,,,,,1000,0.003,-0.46699103,0.087034083,,,
npa,npa,3,,,,,,1000,0.003,,,,,
nigerian,nigerian,3,,,,,,1000,0.003,1.565412702,0.065810543,,,
nick,nick,3,,,,,,1000,0.003,0.253237426,0.480071616,,,
nhl,nhl,3,,,,,,1000,0.003,1.610611438,-0.111473814,,,
netflix,netflix,3,,,,,,1000,0.003,1.182014867,-0.270992191,,,
negotiating,negoti,3,,,,,,1000,0.003,-0.984486382,-0.254936151,,,
nashville,nashvill,3,,,,,,1000,0.003,1.386104753,-0.338642447,,,
narendra,narendra,3,,,,,,1000,0.003,,,,,
nanak,nanak,3,,,,,,1000,0.003,,,,,
mumbai,mumbai,3,,,,,,1000,0.003,1.759947212,-0.210045639,,,
msa,msa,3,,,,,,1000,0.003,,,,,
mp,mp,3,,,,,,1000,0.003,1.541002432,0.010116756,,,
motivated,motiv,3,,,,,,1000,0.003,-0.625754943,-0.009109525,,,
monetary,monetari,3,,,,,,1000,0.003,-0.438532286,-0.156213838,,,
models,model,3,,,,,,1000,0.003,-0.409201366,-0.578438421,,,
mike,mike,3,,,,,,1000,0.003,0.37240053,0.633850821,,,
midst,midst,3,,,,,,1000,0.003,-0.742787014,-0.139392094,,,
men's,men,3,,,,,,1000,0.003,0.376416407,0.215648437,,,
memphis,memphi,3,,,,,,1000,0.003,1.429774137,0.165302471,,,
md,md,3,,,,,,1000,0.003,0.453011114,-0.405809938,,,
matthews,matthew,3,,,,,,1000,0.003,0.89281057,0.232299116,,,
mattel,mattel,3,,,,,,1000,0.003,,,,,
massachusetts,massachusett,3,,,,,,1000,0.003,1.427094171,-0.367604164,,,
mask,mask,3,,,,,,1000,0.003,-0.180023363,0.102745541,,,
malpractice,malpractic,3,,,,,,1000,0.003,-0.271410538,0.280631624,,,
maloney,maloney,3,,,,,,1000,0.003,,,,,
maine,main,3,,,,,,1000,0.003,1.402051691,-0.131286947,,,
madrid,madrid,3,,,,,,1000,0.003,1.89575343,0.535600975,,,
maarten,maarten,3,,,,,,1000,0.003,,,,,
lovely,love,3,,,,,,1000,0.003,0.11178534,0.389216396,,,
louisiana,louisiana,3,,,,,,1000,0.003,1.498204345,-0.248506916,,,
live-action,live-act,3,,,,,,1000,0.003,,,,,
limiting,limit,3,,,,,,1000,0.003,-0.66642432,-0.356886795,,,
licensing,licens,3,,,,,,1000,0.003,-0.470442404,-0.959371039,,,
lego,lego,3,,,,,,1000,0.003,0.788146441,0.047188575,,,
legacy,legaci,3,,,,,,1000,0.003,-0.693104865,-0.17766116,,,
lebanon's,lebanon,3,,,,,,1000,0.003,,,,,
leap,leap,3,,,,,,1000,0.003,-0.429062453,-0.112853554,,,
lawsuit,lawsuit,3,,,,,,1000,0.003,-0.812715322,-0.036410352,,,
landstar,landstar,3,,,,,,1000,0.003,,,,,
labuan,labuan,3,,,,,,1000,0.003,,,,,
labor,labor,3,,,,,,1000,0.003,-0.458234348,-0.069432094,,,
lab,lab,3,,,,,,1000,0.003,-0.589958081,-0.251709131,,,
korea,korea,3,,,,,,1000,0.003,1.51642099,-0.293330538,,,
knicks,knick,3,,,,,,1000,0.003,1.324927621,0.440337015,,,
km,km,3,,,,,,1000,0.003,-0.148130767,0.137484574,,,
klopp,klopp,3,,,,,,1000,0.003,,,,,
keyboard,keyboard,3,,,,,,1000,0.003,0.013258242,0.111311131,,,
kardashian,kardashian,3,,,,,,1000,0.003,0.306369121,0.110527076,,,
kaiser,kaiser,3,,,,,,1000,0.003,0.734916903,0.444302539,,,
journalism,journal,3,,,,,,1000,0.003,-0.318152576,0.206243048,,,
joining,join,3,,,,,,1000,0.003,-0.636166971,-0.313852266,,,
jimmy,jimmi,3,,,,,,1000,0.003,1.334116606,0.349674496,,,
jetty,jetti,3,,,,,,1000,0.003,-0.210639392,0.546880165,,,
jets,jet,3,,,,,,1000,0.003,-0.607704533,0.131883757,,,
jerusalem,jerusalem,3,,,,,,1000,0.003,0.439777905,0.158035393,,,
james,jame,3,,,,,,1000,0.003,2.113295083,0.334545404,,,
jakarta,jakarta,3,,,,,,1000,0.003,0.745424122,0.027566909,,,
irrigation,irrig,3,,,,,,1000,0.003,-0.517204624,0.254643734,,,
iowa,iowa,3,,,,,,1000,0.003,1.681498783,-0.188466566,,,
internet,internet,3,,,,,,1000,0.003,0.067192661,-0.517019269,,,
intelligence,intellig,3,,,,,,1000,0.003,-0.647242524,-0.075995528,,,
inspire,inspir,3,,,,,,1000,0.003,-0.638253858,-0.201010166,,,
infrastructure,infrastructur,3,,,,,,1000,0.003,-0.677984226,-0.614921908,,,
induction,induct,3,,,,,,1000,0.003,-0.576451087,-0.141534538,,,
incorporated,incorpor,3,,,,,,1000,0.003,-0.548396802,-0.875171431,,,
hub,hub,3,,,,,,1000,0.003,-0.577360486,-0.556696669,,,
honour,honour,3,,,,,,1000,0.003,,,,,
homeless,homeless,3,,,,,,1000,0.003,-0.485291073,0.734130866,,,
henry,henri,3,,,,,,1000,0.003,2.007402457,0.192513931,,,
hearings,hear,3,,,,,,1000,0.003,-0.911652887,0.062848198,,,
headquartered,headquart,3,,,,,,1000,0.003,-0.961554534,-1.121960336,,,
hat-trick,hat-trick,3,,,,,,1000,0.003,-0.110618185,1.033384858,,,
halle,hall,3,,,,,,1000,0.003,0.527626667,0.121415283,,,
guardiola's,guardiola,3,,,,,,1000,0.003,,,,,
gordon,gordon,3,,,,,,1000,0.003,1.740107183,0.45207159,,,
girlfriend,girlfriend,3,,,,,,1000,0.003,-0.178057825,0.906253023,,,
freed,freed,3,,,,,,1000,0.003,-0.745798228,0.39562754,,,
france,franc,3,,,,,,1000,0.003,1.904192834,-0.323834803,,,
forbes,forb,3,,,,,,1000,0.003,0.811685368,-0.120463809,,,
followers,follow,3,,,,,,1000,0.003,-0.295206949,0.369074551,,,
flynn,flynn,3,,,,,,1000,0.003,,,,,
flemish,flemish,3,,,,,,1000,0.003,,,,,
fitbit's,fitbit,3,,,,,,1000,0.003,,,,,
finals,final,3,,,,,,1000,0.003,-0.69476456,0.908937049,,,
fernando,fernando,3,,,,,,1000,0.003,0.548268599,0.192424558,,,
farfetch,farfetch,3,,,,,,1000,0.003,,,,,
famed,fame,3,,,,,,1000,0.003,-0.393937748,0.0393137,,,
executed,execut,3,,,,,,1000,0.003,-0.452962218,-0.043873856,,,
enhance,enhanc,3,,,,,,1000,0.003,-0.688878629,-1.039249088,,,
england,england,3,,,,,,1000,0.003,2.198215653,-0.024271092,,,
economy,economi,3,,,,,,1000,0.003,-0.652768734,-0.236304172,,,
eco,eco,3,,,,,,1000,0.003,-0.22432636,-0.484552491,,,
drives,drive,3,,,,,,1000,0.003,-0.472957555,-0.228400319,,,
dragon,dragon,3,,,,,,1000,0.003,0.200464846,0.403000496,,,
dozens,dozen,3,,,,,,1000,0.003,-0.592019586,-0.241439051,,,
dorian,dorian,3,,,,,,1000,0.003,,,,,
dora,dora,3,,,,,,1000,0.003,0.755030065,0.121295216,,,
discussing,discuss,3,,,,,,1000,0.003,-0.733879855,-0.427207667,,,
derrick,derrick,3,,,,,,1000,0.003,0.067357383,0.447284667,,,
demonstrations,demonstr,3,,,,,,1000,0.003,-0.607722911,-0.272047502,,,
delivering,deliv,3,,,,,,1000,0.003,-0.739597557,-0.672042714,,,
defeated,defeat,3,,,,,,1000,0.003,-0.773555088,0.862824753,,,
deep-primed,deep-prim,3,,,,,,1000,0.003,,,,,
deals,deal,3,,,,,,1000,0.003,-0.511005322,-0.583643731,,,
deadline,deadlin,3,,,,,,1000,0.003,-0.68756774,-0.047585607,,,
davao,davao,3,,,,,,1000,0.003,0.485185164,0.098438094,,,
daniel,daniel,3,,,,,,1000,0.003,1.744698238,0.145224865,,,
culprit,culprit,3,,,,,,1000,0.003,-0.40143053,0.26723055,,,
crane,crane,3,,,,,,1000,0.003,-0.417352721,0.26513054,,,
courier,courier,3,,,,,,1000,0.003,-0.457832994,-0.053419355,,,
correspondences,correspond,3,,,,,,1000,0.003,-0.631433364,-0.023135276,,,
cooperation,cooper,3,,,,,,1000,0.003,-0.800608218,-0.606187133,,,
controversial,controversi,3,,,,,,1000,0.003,-0.567178275,-0.072366841,,,
consultation,consult,3,,,,,,1000,0.003,-0.691478289,-0.549704986,,,
constituency,constitu,3,,,,,,1000,0.003,-0.449269429,0.444806712,,,
conner,conner,3,,,,,,1000,0.003,0.59028551,0.234505333,,,
communicated,communic,3,,,,,,1000,0.003,-0.538991618,-0.457147135,,,
cocaine,cocain,3,,,,,,1000,0.003,-0.382874274,0.612494024,,,
coastal,coastal,3,,,,,,1000,0.003,-0.404658484,0.096780638,,,
coaching,coach,3,,,,,,1000,0.003,-0.591385649,0.731693451,,,
climate,climat,3,,,,,,1000,0.003,-0.468186267,-0.370065855,,,
clients,client,3,,,,,,1000,0.003,-0.706245019,-0.644111163,,,
chris,chris,3,,,,,,1000,0.003,2.123094635,0.019723887,,,
chinese,chines,3,,,,,,1000,0.003,1.732790724,-0.361860889,,,
checkpoint,checkpoint,3,,,,,,1000,0.003,-0.687535584,0.326285533,,,
cancer,cancer,3,,,,,,1000,0.003,-0.586175809,0.177280512,,,
campus,campus,3,,,,,,1000,0.003,-0.672454861,0.056381986,,,
cabinet,cabinet,3,,,,,,1000,0.003,-0.417563465,0.135324536,,,
bulacan,bulacan,3,,,,,,1000,0.003,,,,,
brooks,brook,3,,,,,,1000,0.003,0.357024677,0.34017578,,,
breitbart,breitbart,3,,,,,,1000,0.003,,,,,
brand-new,brand-new,3,,,,,,1000,0.003,0.003620197,-0.209184372,,,
brain,brain,3,,,,,,1000,0.003,-0.317053629,0.206027442,,,
bpl's,bpl,3,,,,,,1000,0.003,,,,,
boris,bori,3,,,,,,1000,0.003,0.4491367,0.032838198,,,
bombers,bomber,3,,,,,,1000,0.003,-0.522235329,0.497021395,,,
bolivian,bolivian,3,,,,,,1000,0.003,,,,,
blazes,blaze,3,,,,,,1000,0.003,-0.785028614,0.688805294,,,
bjp,bjp,3,,,,,,1000,0.003,1.160123749,0.334663663,,,
berlin,berlin,3,,,,,,1000,0.003,1.37840029,-0.467481507,,,
bengaluru,bengaluru,3,,,,,,1000,0.003,,,,,
bengal,bengal,3,,,,,,1000,0.003,0.536133927,0.3651524,,,
belle,bell,3,,,,,,1000,0.003,0.371699723,0.52702973,,,
barcelona,barcelona,3,,,,,,1000,0.003,1.648861494,0.308480797,,,
banking,bank,3,,,,,,1000,0.003,-0.485344534,-0.319216356,,,
baltimore,baltimor,3,,,,,,1000,0.003,1.619056384,-0.104764905,,,
ballerini,ballerini,3,,,,,,1000,0.003,,,,,
bahamas,bahama,3,,,,,,1000,0.003,1.130382708,-0.074377206,,,
atp,atp,3,,,,,,1000,0.003,0.050672839,-0.089351249,,,
arena,arena,3,,,,,,1000,0.003,-0.51905921,-0.216070732,,,
app,app,3,,,,,,1000,0.003,-0.082758398,-0.591265895,,,
antigens,antigen,3,,,,,,1000,0.003,-0.551303075,-0.102278485,,,
animated,anim,3,,,,,,1000,0.003,-0.451289642,0.006318237,,,
ally,alli,3,,,,,,1000,0.003,-0.910573744,0.306348286,,,
allen's,allen,3,,,,,,1000,0.003,,,,,
airways,airway,3,,,,,,1000,0.003,-0.465065844,-0.02577395,,,
aims,aim,3,,,,,,1000,0.003,-0.580257039,-0.80272494,,,
adapt,adapt,3,,,,,,1000,0.003,-0.655575932,-0.515602455,,,
acquisition,acquisit,3,,,,,,1000,0.003,-0.766398492,-0.631713089,,,
abc,abc,3,,,,,,1000,0.003,1.297187681,-0.201706255,,,
abacos,abaco,3,,,,,,1000,0.003,,,,,
"15,000","15,000",3,,,,,,1000,0.003,,,,,
"10,000","10,000",3,,,,,,1000,0.003,,,,,
zach,zach,2,,,,,,1000,0.002,1.264131741,0.350719312,,,
youth,youth,2,,,,,,1000,0.002,-0.495588615,0.413767778,,,
yorker,yorker,2,,,,,,1000,0.002,0.308725303,0.993538774,,,
worldwide,worldwid,2,,,,,,1000,0.002,-0.456278772,-1.061176809,,,
wolfson,wolfson,2,,,,,,1000,0.002,,,,,
wireimage,wireimag,2,,,,,,1000,0.002,,,,,
wins,win,2,,,,,,1000,0.002,-0.593080851,0.363162144,,,
welfare,welfar,2,,,,,,1000,0.002,-0.383049079,0.234787846,,,
website,websit,2,,,,,,1000,0.002,-0.147281751,-0.717934409,,,
weapons,weapon,2,,,,,,1000,0.002,-0.698723803,0.358985446,,,
wealthy,wealthi,2,,,,,,1000,0.002,-0.633105884,0.116668239,,,
wasteful,wast,2,,,,,,1000,0.002,-0.385120026,0.029388707,,,
wary,wari,2,,,,,,1000,0.002,-0.780680715,-0.062661685,,,
vulnerable,vulner,2,,,,,,1000,0.002,-0.612381027,-0.181062973,,,
volunteering,volunt,2,,,,,,1000,0.002,-0.670487023,0.106634723,,,
visits,visit,2,,,,,,1000,0.002,-0.65289481,-0.087514284,,,
virtues,virtu,2,,,,,,1000,0.002,-0.320451953,-0.135612224,,,
violations,violat,2,,,,,,1000,0.002,-0.693873565,-0.170926484,,,
vindman,vindman,2,,,,,,1000,0.002,,,,,
vincent,vincent,2,,,,,,1000,0.002,1.163617461,0.247275035,,,
videos,video,2,,,,,,1000,0.002,-0.304410466,-0.41792937,,,
viable,viabl,2,,,,,,1000,0.002,-0.624912043,-0.576020499,,,
vermont,vermont,2,,,,,,1000,0.002,0.768933143,-0.156638999,,,
venue,venu,2,,,,,,1000,0.002,-0.614590124,0.125354455,,,
varieties,varieti,2,,,,,,1000,0.002,-0.471028605,-0.048081889,,,
values,valu,2,,,,,,1000,0.002,-0.563421002,-0.424289747,,,
va,va,2,,,,,,1000,0.002,1.504650868,-0.363939844,,,
utilization,util,2,,,,,,1000,0.002,-0.287333365,-0.829840436,,,
upset,upset,2,,,,,,1000,0.002,-0.695756032,0.615730408,,,
upgraded,upgrad,2,,,,,,1000,0.002,-0.428768574,-0.681160482,,,
upcoming,upcom,2,,,,,,1000,0.002,-0.58162253,-0.479400658,,,
uniforms,uniform,2,,,,,,1000,0.002,-0.472022755,0.289788921,,,
unicef,unicef,2,,,,,,1000,0.002,0.04231692,-0.268433108,,,
unesco,unesco,2,,,,,,1000,0.002,,,,,
unease,uneas,2,,,,,,1000,0.002,-0.950012205,-0.050231195,,,
underpass,underpass,2,,,,,,1000,0.002,-0.714804397,0.746380008,,,
unanimously,unanim,2,,,,,,1000,0.002,-0.692521103,-0.010408437,,,
ultimately,ultim,2,,,,,,1000,0.002,-0.615047529,-0.257741982,,,
ukrainians,ukrainian,2,,,,,,1000,0.002,,,,,
tyson,tyson,2,,,,,,1000,0.002,1.324893135,0.420491182,,,
twists,twist,2,,,,,,1000,0.002,-0.783914739,0.146425057,,,
tweeted,tweet,2,,,,,,1000,0.002,0.502071448,0.226262214,,,
turnaround,turnaround,2,,,,,,1000,0.002,-0.857732299,-0.196529317,,,
turkish,turkish,2,,,,,,1000,0.002,0.944368151,-0.106675101,,,
turkey,turkey,2,,,,,,1000,0.002,-0.108228746,0.298058668,,,
tucson's,tucson,2,,,,,,1000,0.002,,,,,
ttfa,ttfa,2,,,,,,1000,0.002,,,,,
tribune,tribun,2,,,,,,1000,0.002,0.418556563,0.553783993,,,
transparent,transpar,2,,,,,,1000,0.002,-0.425018588,-0.612969487,,,
transforming,transform,2,,,,,,1000,0.002,-0.701557871,-0.612678696,,,
transactions,transact,2,,,,,,1000,0.002,-0.768200052,-0.617740924,,,
trades,trade,2,,,,,,1000,0.002,-0.448924989,-0.348006434,,,
tracker,tracker,2,,,,,,1000,0.002,-0.037829726,-0.538937211,,,
tower,tower,2,,,,,,1000,0.002,-0.616803523,-0.018434891,,,
tourism,tourism,2,,,,,,1000,0.002,-0.537694409,-0.126647706,,,
torque,torqu,2,,,,,,1000,0.002,-0.191626934,0.177023815,,,
topical,topic,2,,,,,,1000,0.002,-0.393441228,-0.671140933,,,
ton,ton,2,,,,,,1000,0.002,0.012344829,0.085206355,,,
toilets,toilet,2,,,,,,1000,0.002,-0.410147682,0.380906463,,,
titles,titl,2,,,,,,1000,0.002,-0.567250998,0.025056103,,,
tim,tim,2,,,,,,1000,0.002,1.777422053,0.01892987,,,
tillerson,tillerson,2,,,,,,1000,0.002,,,,,
three-term,three-term,2,,,,,,1000,0.002,,,,,
thread,thread,2,,,,,,1000,0.002,0.197309569,-0.013029413,,,
thomson,thomson,2,,,,,,1000,0.002,0.952249459,-0.081804035,,,
theft,theft,2,,,,,,1000,0.002,-0.484809553,0.055814075,,,
texas,texa,2,,,,,,1000,0.002,2.087798862,-0.488560877,,,
tennis,tenni,2,,,,,,1000,0.002,-0.27393805,0.654662688,,,
tenn,tenn,2,,,,,,1000,0.002,0.538325401,0.227139209,,,
teacher,teacher,2,,,,,,1000,0.002,-0.530378553,0.745136956,,,
tasked,task,2,,,,,,1000,0.002,-0.741431911,-0.278061705,,,
taree,tare,2,,,,,,1000,0.002,,,,,
talks,talk,2,,,,,,1000,0.002,-0.778851446,-0.163951174,,,
takeover,takeov,2,,,,,,1000,0.002,-0.713563988,-0.305679766,,,
takeaways,takeaway,2,,,,,,1000,0.002,-0.585035531,-0.0354011,,,
tackle,tackl,2,,,,,,1000,0.002,-0.588000041,0.143943679,,,
syria,syria,2,,,,,,1000,0.002,1.096893892,0.065107569,,,
swathes,swath,2,,,,,,1000,0.002,-0.238313806,-0.155892972,,,
surveys,survey,2,,,,,,1000,0.002,-0.656378833,-0.640903827,,,
superintendent,superintend,2,,,,,,1000,0.002,-0.706280086,0.668702987,,,
sunrise,sunris,2,,,,,,1000,0.002,-0.19464584,0.187062399,,,
suny,suni,2,,,,,,1000,0.002,,,,,
subsequently,subsequ,2,,,,,,1000,0.002,-0.548216894,-0.24635323,,,
subscription,subscript,2,,,,,,1000,0.002,-0.454073693,-0.794944978,,,
stunned,stun,2,,,,,,1000,0.002,-0.79283519,0.461347764,,,
studies,studi,2,,,,,,1000,0.002,-0.598490891,-0.401531681,,,
striker,striker,2,,,,,,1000,0.002,-0.472010816,1.539816055,,,
stretching,stretch,2,,,,,,1000,0.002,-0.590474583,0.02488654,,,
strengthening,strengthen,2,,,,,,1000,0.002,-0.657068735,-0.787196854,,,
strategies,strategi,2,,,,,,1000,0.002,-0.594727721,-0.850967162,,,
straits,strait,2,,,,,,1000,0.002,-0.570856528,0.067858464,,,
stones,stone,2,,,,,,1000,0.002,-0.162949589,0.455636405,,,
stites,stite,2,,,,,,1000,0.002,,,,,
stevens,steven,2,,,,,,1000,0.002,0.988712585,0.510376044,,,
steve,steve,2,,,,,,1000,0.002,2.284179392,-0.023895801,,,
stamp,stamp,2,,,,,,1000,0.002,-0.533251786,-0.060426303,,,
stakes,stake,2,,,,,,1000,0.002,-0.793209872,-0.215894251,,,
stables,stabl,2,,,,,,1000,0.002,-0.396795766,0.295620519,,,
squeeze,squeez,2,,,,,,1000,0.002,-0.524681141,-0.122256032,,,
spreading,spread,2,,,,,,1000,0.002,-0.377189813,-0.273889446,,,
spy,spi,2,,,,,,1000,0.002,-0.448497652,0.26791522,,,
spectators,spectat,2,,,,,,1000,0.002,-0.665188918,0.608729641,,,
spanish,spanish,2,,,,,,1000,0.002,1.542221954,-0.164218401,,,
sowing,sow,2,,,,,,1000,0.002,-0.287342595,0.073442527,,,
southern,southern,2,,,,,,1000,0.002,-0.511991802,0.021109103,,,
sonny,sonni,2,,,,,,1000,0.002,0.92251923,0.573510553,,,
